"name","label","geometry","site"
249,249,"43.9238 4.5868","ripisylves_gardon"
250,250,"43.9235 4.5879","ripisylves_gardon"
251,251,"43.9224 4.5886","ripisylves_gardon"
252,252,"43.9218 4.5891","ripisylves_gardon"
253,253,"43.9211 4.5908","ripisylves_gardon"
254,254,"43.9202 4.5922","ripisylves_gardon"
255,255,"43.9210 4.5915","ripisylves_gardon"
256,256,"43.9197 4.5813","ripisylves_gardon"
257,257,"43.9182 4.5825","ripisylves_gardon"
258,258,"43.9181 4.5822","ripisylves_gardon"
259,259,"43.9179 4.5820","ripisylves_gardon"
260,260,"43.9173 4.5831","ripisylves_gardon"
261,261,"43.9173 4.5847","ripisylves_gardon"
262,262,"43.9113 4.5881","ripisylves_gardon"
263,263,"43.9121 4.5901","ripisylves_gardon"
264,264,"43.9224 4.5895","ripisylves_gardon"
265,265,"43.9174 4.5881","ripisylves_gardon"
266,266,"43.9014 4.5818","ripisylves_gardon"
267,267,"43.9515 4.5551","ripisylves_gardon"
268,268,"43.9317 4.4155","ripisylves_gardon"
269,269,"43.9409 4.3831","ripisylves_gardon"
270,270,"43.9331 4.3986","ripisylves_gardon"
271,271,"43.9288 4.3642","ripisylves_gardon"
272,272,"43.9386 4.3746","ripisylves_gardon"
273,273,"43.9166 4.3299","ripisylves_gardon"
274,274,"43.9238 4.3419","ripisylves_gardon"
275,275,"43.9328 4.4080","ripisylves_gardon"
276,276,"43.9431 4.5599","ripisylves_gardon"
277,277,"43.9390 4.5552","ripisylves_gardon"
278,278,"43.9520 4.4093","ripisylves_gardon"
279,279,"43.9479 4.5582","ripisylves_gardon"
280,280,"43.9557 4.5227","ripisylves_gardon"
281,281,"43.9508 4.3963","ripisylves_gardon"
282,282,"43.9479 4.3907","ripisylves_gardon"
283,283,"43.9608 4.5150","ripisylves_gardon"
284,284,"43.9616 4.4840","ripisylves_gardon"
285,285,"43.9639 4.4831","ripisylves_gardon"
286,286,"43.9592 4.4837","ripisylves_gardon"
287,287,"43.9479 4.3834","ripisylves_gardon"
288,288,"43.9449 4.3896","ripisylves_gardon"
289,289,"43.9563 4.4841","ripisylves_gardon"
290,290,"43.9434 4.3852","ripisylves_gardon"
